outage_duration_s,baseline_name,distance_travelled_m,position_rmse_m,position_mae_m,endpoint_error_m,max_position_error_m,drift_percent_endpoint,drift_percent_rmse,drift_percent_max,velocity_rmse_mps,heading_error_deg,pre_recovery_error_m,post_recovery_error_m,recovery_time_s
10.0,BASELINE 1: Pure INS,149.66851611251082,1.1811093378980135,1.1508328171756201,1.6332406007993965,1.6332406007993965,1.0912385872601522,0.7891501623562127,1.0912385872601522,0.08241881953195203,0.0,1.6332406007993965,1.1848252401882169,0.0
10.0,BASELINE 2: INS + EKF,149.66851611251082,0.4522086404416578,0.45055336568935384,0.3942658205850928,0.5090684943573103,0.2634260236058665,0.3021401241806376,0.3401306484355244,0.028840920211636673,0.0,0.3942658205850928,0.9667228449048458,0.0
10.0,BASELINE 3: ML Only,149.66851611251082,85.9568713544521,74.30864056753363,149.0799272029144,149.0799272029144,99.60673832754917,57.43149834520672,99.60673832754917,14.987729700720044,0.0,149.0799272029144,1.1848252401882169,0.0
10.0,BASELINE 4: ML + INS,149.66851611251082,72.89913074723448,62.99764202271269,126.47750653717783,126.47750653717783,84.50508485171355,48.70705786408263,84.50508485171355,12.727280617821128,0.0,126.47750653717783,1.1848252407628732,0.0
10.0,BASELINE 5: ML + INS + EKF,149.66851611251082,87.58213797104754,76.17895896519276,150.9544818755342,150.9544818755342,100.85920926887302,58.517409169213074,100.85920926887302,14.987729700720044,0.0,150.9544818755342,1.2141969895905946,0.030000000000001137
10.0,BASELINE 6: ML + INS + EKF + NHC,149.66851611251082,87.58213822612262,76.17895910744345,150.954482903776,150.954482903776,100.85920995588577,58.51740933963975,100.85920995588577,14.987742682801233,0.0,150.954482903776,1.2141207102545273,0.030000000000001137
10.0,BASELINE 7: ML + INS + EKF + NHC + ZUPT,149.66851611251082,87.63216256923751,76.22297404635806,151.03796448559953,151.03796448559953,100.91498760638427,58.5508327638937,100.91498760638427,14.991760578145266,0.0,151.03796448559953,1.2148382990074502,1.0700000000000074
30.0,BASELINE 1: Pure INS,443.5222148692547,2.4722071722720655,2.2162262082723707,4.374108265971178,4.374108265971178,0.986220784287122,0.5574032346949847,0.986220784287122,0.14982778325730636,0.0,4.374108265971178,1.6239140269473453,0.0
30.0,BASELINE 2: INS + EKF,443.5222148692547,28.72360742771444,24.151204124484472,51.391626619102624,51.391626619102624,11.58715953703746,6.4762499971240075,11.58715953703746,1.5123657034314166,0.0,51.391626619102624,0.5648489547448923,0.0
30.0,BASELINE 3: ML Only,443.5222148692547,253.1504670496478,217.65639996601192,441.8908742167516,441.8908742167516,99.63218513124895,57.077291410143616,99.63218513124895,14.77805090815687,0.0,441.8908742167516,1.6239140269473453,0.0
30.0,BASELINE 4: ML + INS,443.5222148692547,215.43897547571046,185.21396778217928,376.1100473876619,376.1100473876619,84.80072356658276,48.574562502854434,84.80072356658276,12.583058309335913,0.0,376.1100473876619,1.6239140269337844,0.0
30.0,BASELINE 5: ML + INS + EKF,443.5222148692547,254.26950149635655,218.94765028446784,443.1929931633988,443.1929931633988,99.92577108996605,57.32959770037952,99.92577108996605,14.77805090815687,0.0,443.1929931633988,1.2488972586571916,0.010000000000005116
30.0,BASELINE 6: ML + INS + EKF + NHC,443.5222148692547,254.51254835144465,219.22183705998134,443.4736642579681,443.4736642579681,99.98905339808043,57.38439695212833,99.98905339808043,14.78003311440942,0.0,443.4736642579681,1.2488905411052162,0.010000000000005116
30.0,BASELINE 7: ML + INS + EKF + NHC + ZUPT,443.5222148692547,254.7715266397274,219.46883913540998,443.8610191693007,443.8610191693007,100.0763894769388,57.442788229859275,100.0763894769388,14.784317695992842,0.0,443.8610191693007,1.2495826499715428,0.9500000000000028
60.0,BASELINE 1: Pure INS,866.0196957275895,1.4774879964120509,1.231819596528679,2.6451975263673293,2.6451975263673293,0.3054431139865656,0.17060674297606293,0.3054431139865656,0.04212904535421172,0.0,2.6451975263673293,1.0194802396407128,0.0
